epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1102.13,1.87831,1.70668,1.3294,0.722,0.63665,0.65753,0.40025,2.13818,1.87141,1.29878,8.3956e-05,8.3956e-05,8.3956e-05
42,1130.89,1.69919,1.63774,1.28014,0.69007,0.65007,0.66932,0.4052,2.12124,1.85527,1.28239,8.25799e-05,8.25799e-05,8.25799e-05
43,1159.3,1.98546,1.9281,1.42037,0.71994,0.66014,0.6767,0.40744,2.09865,1.83647,1.27223,8.12038e-05,8.12038e-05,8.12038e-05
44,1186.55,1.78351,1.58396,1.23031,0.73391,0.6679,0.68765,0.4148,2.01702,1.80612,1.24504,7.98277e-05,7.98277e-05,7.98277e-05
45,1220.91,1.71594,1.72029,1.30835,0.73391,0.6679,0.68765,0.4148,2.01702,1.80612,1.24504,7.84516e-05,7.84516e-05,7.84516e-05
46,1251.29,1.62309,1.62614,1.27054,0.76033,0.68028,0.70257,0.41924,1.90901,1.7783,1.21148,7.70755e-05,7.70755e-05,7.70755e-05
47,1281.15,1.7305,1.51964,1.24042,0.76455,0.6937,0.71514,0.42204,1.85212,1.7383,1.19264,7.56994e-05,7.56994e-05,7.56994e-05
48,1316.29,1.76039,1.9081,1.26079,0.80598,0.69034,0.72327,0.42239,1.85521,1.70558,1.19407,7.43233e-05,7.43233e-05,7.43233e-05
49,1346.67,1.90762,1.68554,1.32223,0.80598,0.69034,0.72327,0.42239,1.85521,1.70558,1.19407,7.29472e-05,7.29472e-05,7.29472e-05
50,1376.02,1.6216,1.43323,1.23633,0.8085,0.69034,0.73103,0.42011,1.90512,1.71252,1.20261,7.15711e-05,7.15711e-05,7.15711e-05
51,1405.81,1.88279,1.56887,1.31956,0.81652,0.70377,0.74196,0.42821,1.92034,1.64414,1.21791,7.0195e-05,7.0195e-05,7.0195e-05
52,1435.52,1.82392,1.71555,1.38712,0.81202,0.72054,0.74641,0.43296,1.90729,1.57401,1.24031,6.88189e-05,6.88189e-05,6.88189e-05
53,1465.83,1.78585,1.60941,1.37114,0.81202,0.72054,0.74641,0.43296,1.90729,1.57401,1.24031,6.74428e-05,6.74428e-05,6.74428e-05
54,1496.11,1.58917,1.41177,1.26195,0.81943,0.7239,0.75191,0.4396,1.87659,1.52022,1.24888,6.60667e-05,6.60667e-05,6.60667e-05
55,1526.07,1.67975,1.53673,1.25916,0.82223,0.72726,0.76039,0.44682,1.84924,1.47097,1.24328,6.46906e-05,6.46906e-05,6.46906e-05
56,1556.4,1.6667,1.81313,1.18167,0.82057,0.74739,0.7632,0.44453,1.82255,1.42287,1.22709,6.33145e-05,6.33145e-05,6.33145e-05
57,1586.72,1.51452,1.71134,1.3609,0.82057,0.74739,0.7632,0.44453,1.82255,1.42287,1.22709,6.19384e-05,6.19384e-05,6.19384e-05
58,1617.18,1.74814,1.49811,1.29457,0.79719,0.75746,0.7607,0.44553,1.79646,1.40372,1.21079,6.05623e-05,6.05623e-05,6.05623e-05
59,1647.49,1.68117,1.51027,1.2472,0.80497,0.74403,0.75732,0.44523,1.77263,1.38572,1.19821,5.91862e-05,5.91862e-05,5.91862e-05
60,1677.41,1.59314,1.41151,1.17716,0.79845,0.74739,0.75999,0.44578,1.74792,1.36489,1.18464,5.78101e-05,5.78101e-05,5.78101e-05
61,1707,1.77989,1.51761,1.2856,0.79845,0.74739,0.75999,0.44578,1.74792,1.36489,1.18464,5.6434e-05,5.6434e-05,5.6434e-05
62,1736.14,1.60314,1.42976,1.24857,0.78636,0.74952,0.7646,0.45598,1.72672,1.35339,1.17017,5.50579e-05,5.50579e-05,5.50579e-05
63,1767.44,1.72816,1.63055,1.27089,0.78921,0.75598,0.77207,0.46566,1.70722,1.36031,1.15144,5.36818e-05,5.36818e-05,5.36818e-05
64,1796.99,1.53213,1.44557,1.14765,0.79498,0.76081,0.77466,0.46104,1.69354,1.3833,1.14331,5.23057e-05,5.23057e-05,5.23057e-05
65,1826.47,1.69113,1.45415,1.23615,0.79498,0.76081,0.77466,0.46104,1.69354,1.3833,1.14331,5.09296e-05,5.09296e-05,5.09296e-05
66,1855.77,1.41932,1.63084,1.20438,0.79354,0.76081,0.77651,0.45615,1.66302,1.37626,1.13225,4.95535e-05,4.95535e-05,4.95535e-05
67,1885.26,1.7344,1.64068,1.27446,0.79403,0.76417,0.77733,0.46269,1.64635,1.37013,1.12534,4.81774e-05,4.81774e-05,4.81774e-05
68,1916.69,1.67704,1.45576,1.21355,0.79207,0.77088,0.7716,0.46522,1.6303,1.35612,1.12147,4.68013e-05,4.68013e-05,4.68013e-05
69,1948.28,1.65636,1.45475,1.22553,0.79207,0.77088,0.7716,0.46522,1.6303,1.35612,1.12147,4.54252e-05,4.54252e-05,4.54252e-05
70,1979.19,1.57763,1.35656,1.16204,0.79104,0.76752,0.77044,0.46754,1.6133,1.34525,1.11519,4.40491e-05,4.40491e-05,4.40491e-05
71,2009.78,1.6756,1.40479,1.18161,0.78647,0.76513,0.77101,0.46231,1.61325,1.33876,1.11344,4.2673e-05,4.2673e-05,4.2673e-05
72,2040.26,1.48204,1.40737,1.21701,0.77995,0.78766,0.77779,0.46652,1.6239,1.33413,1.11832,4.12969e-05,4.12969e-05,4.12969e-05
73,2072.97,1.65341,1.45374,1.17641,0.77995,0.78766,0.77779,0.46652,1.6239,1.33413,1.11832,3.99208e-05,3.99208e-05,3.99208e-05
74,2103.79,1.61657,1.40817,1.17548,0.77968,0.79101,0.78074,0.46661,1.64029,1.31746,1.12813,3.85447e-05,3.85447e-05,3.85447e-05
75,2135.77,1.82131,1.63669,1.30361,0.7918,0.76752,0.78061,0.47133,1.66103,1.30713,1.14407,3.71686e-05,3.71686e-05,3.71686e-05
76,2165.77,1.58173,1.35285,1.18999,0.80308,0.76226,0.78238,0.469,1.66744,1.29623,1.15462,3.57925e-05,3.57925e-05,3.57925e-05
77,2197.97,1.52957,1.41797,1.18254,0.80308,0.76226,0.78238,0.469,1.66744,1.29623,1.15462,3.44164e-05,3.44164e-05,3.44164e-05
78,2234.51,1.6728,1.38612,1.17401,0.79632,0.77088,0.78275,0.46731,1.66758,1.2937,1.15799,3.30403e-05,3.30403e-05,3.30403e-05
79,2265.99,1.49486,1.30064,1.12654,0.80031,0.77729,0.78748,0.47041,1.65968,1.29375,1.15395,3.16642e-05,3.16642e-05,3.16642e-05
80,2296.57,1.68741,1.51104,1.2168,0.8014,0.76752,0.78833,0.47729,1.6446,1.28611,1.14663,3.02881e-05,3.02881e-05,3.02881e-05
81,2326.05,1.50997,1.32099,1.16277,0.8014,0.76752,0.78833,0.47729,1.6446,1.28611,1.14663,2.8912e-05,2.8912e-05,2.8912e-05
82,2354.53,1.69256,1.33691,1.18824,0.81072,0.78725,0.79184,0.48469,1.63295,1.27589,1.13911,2.75359e-05,2.75359e-05,2.75359e-05
83,2384.73,1.85179,1.98993,1.40653,0.80691,0.79452,0.79153,0.48558,1.61537,1.25984,1.13045,2.61598e-05,2.61598e-05,2.61598e-05
84,2414.94,1.47492,1.28366,1.15118,0.807,0.79391,0.79191,0.48846,1.58628,1.24778,1.11627,2.47837e-05,2.47837e-05,2.47837e-05
85,2445.04,1.51172,1.39134,1.178,0.807,0.79391,0.79191,0.48846,1.58628,1.24778,1.11627,2.34076e-05,2.34076e-05,2.34076e-05
86,2475.73,1.5638,1.45838,1.1816,0.80987,0.79513,0.79182,0.48781,1.57368,1.24636,1.10898,2.20315e-05,2.20315e-05,2.20315e-05
87,2506.18,1.44726,1.36666,1.15266,0.81096,0.7979,0.79268,0.48998,1.56423,1.25073,1.1025,2.06554e-05,2.06554e-05,2.06554e-05
88,2536.44,1.63003,1.41783,1.21763,0.81137,0.80108,0.79387,0.49199,1.5571,1.25392,1.09927,1.92793e-05,1.92793e-05,1.92793e-05
89,2566.37,1.68032,1.37042,1.17854,0.81137,0.80108,0.79387,0.49199,1.5571,1.25392,1.09927,1.79032e-05,1.79032e-05,1.79032e-05
90,2596.15,1.57261,1.38658,1.20659,0.81693,0.80444,0.80056,0.49446,1.55422,1.25144,1.09694,1.65271e-05,1.65271e-05,1.65271e-05
91,2627.54,1.56174,1.6473,1.09535,0.82746,0.79977,0.80189,0.49689,1.55571,1.24956,1.09633,1.5151e-05,1.5151e-05,1.5151e-05
92,2656.12,1.80173,1.72738,1.23682,0.82678,0.79099,0.8019,0.49188,1.55671,1.2426,1.09605,1.37749e-05,1.37749e-05,1.37749e-05
93,2686.4,1.53662,1.78502,1.14504,0.82678,0.79099,0.8019,0.49188,1.55671,1.2426,1.09605,1.23988e-05,1.23988e-05,1.23988e-05
94,2714.34,1.54604,1.58494,1.09077,0.83536,0.78766,0.79844,0.49146,1.55654,1.23599,1.09681,1.10227e-05,1.10227e-05,1.10227e-05
95,2744.25,1.75974,1.71313,1.27546,0.83358,0.78961,0.79743,0.48936,1.56313,1.23231,1.09957,9.6466e-06,9.6466e-06,9.6466e-06
96,2774.05,1.62708,1.61331,1.12314,0.8437,0.77424,0.8005,0.4886,1.5686,1.22271,1.10136,8.2705e-06,8.2705e-06,8.2705e-06
97,2802.24,1.64481,1.52065,1.17397,0.8437,0.77424,0.8005,0.4886,1.5686,1.22271,1.10136,6.8944e-06,6.8944e-06,6.8944e-06
98,2831.55,1.72262,1.72106,1.28579,0.84099,0.77088,0.79144,0.48928,1.57206,1.21916,1.10369,5.5183e-06,5.5183e-06,5.5183e-06
99,2860.01,1.57252,1.53295,1.1618,0.83793,0.7661,0.78807,0.48807,1.57074,1.21789,1.10454,4.1422e-06,4.1422e-06,4.1422e-06
100,2890.36,1.70757,1.56217,1.19655,0.82979,0.76417,0.78498,0.48683,1.5715,1.2173,1.10685,2.7661e-06,2.7661e-06,2.7661e-06
